No,;Time;Source;Destination;;Time 1;Time 2;Delay;Total Delay;233,631491;;Delay 1;Delay 2;Jitter;Total Jitter;233,612306
96;51,15764600;172,20,10,6;103,10,124,162;;51,157646;51,185361;0,027715;;;;-1,312637;1,340352;2,652989;;
97;51,18536100;103,10,124,162;172,20,10,6;;51,185361;52,525713;1,340352;;;;1,289231;0,051121;-1,23811;;
98;52,52571300;172,20,10,6;31,13,95,60;;52,525713;52,576834;0,051121;;;;-0,263153;0,314274;0,577427;;
99;52,57683400;31,13,95,60;172,20,10,6;;52,576834;52,891108;0,314274;;;;0,273906;0,040368;-0,233538;;
100;52,89110800;31,13,95,60;172,20,10,6;;52,891108;52,931476;0,040368;;;;-0,525664;0,566032;1,091696;;
101;52,93147600;172,20,10,6;31,13,95,60;;52,931476;53,497508;0,566032;;;;0,521855;0,044177;-0,477678;;
102;53,49750800;172,20,10,6;20,197,71,89;;53,497508;53,541685;0,044177;;;;0,011236;0,032941;0,021705;;
103;53,54168500;20,197,71,89;172,20,10,6;;53,541685;53,574626;0,032941;;;;-0,013779;0,04672;0,060499;;
104;53,57462600;20,197,71,89;172,20,10,6;;53,574626;53,621346;0,04672;;;;-15,687969;15,734689;31,422658;;
105;53,62134600;172,20,10,6;20,197,71,89;;53,621346;69,356035;15,734689;;;;15,697959;0,03673;-15,661229;;
113;69,35603500;172,20,10,6;155,133,239,51;;69,356035;69,392765;0,03673;;;;-1,72709;1,76382;3,49091;;
114;69,39276500;155,133,239,51;172,20,10,6;;69,392765;71,156585;1,76382;;;;1,726683;0,037137;-1,689546;;
115;71,15658500;172,20,10,6;31,13,95,60;;71,156585;71,193722;0,037137;;;;-0,297095;0,334232;0,631327;;
116;71,19372200;31,13,95,60;172,20,10,6;;71,193722;71,527954;0,334232;;;;0,27903;0,055202;-0,223828;;
120;71,52795400;31,13,95,60;172,20,10,6;;71,527954;71,583156;0,055202;;;;-5,193527;5,248729;10,442256;;
121;71,58315600;172,20,10,6;31,13,95,60;;71,583156;76,831885;5,248729;;;;5,224037;0,024692;-5,199345;;
138;76,83188500;172,20,10,6;131,253,33,203;;76,831885;76,856577;0,024692;;;;-1,361711;1,386403;2,748114;;
139;76,85657700;131,253,33,203;172,20,10,6;;76,856577;78,24298;1,386403;;;;1,359649;0,026754;-1,332895;;
140;78,24298000;172,20,10,6;103,10,124,162;;78,24298;78,269734;0,026754;;;;-1,423477;1,450231;2,873708;;
141;78,26973400;103,10,124,162;172,20,10,6;;78,269734;79,719965;1,450231;;;;-0,792818;2,243049;3,035867;;
142;79,71996500;20,189,173,9;172,20,10,6;;79,719965;81,963014;2,243049;;;;2,242922;0,000127;-2,242795;;
143;81,96301400;172,20,10,6;173,194,59,73;;81,963014;81,963141;0,000127;;;;-0,030553;0,03068;0,061233;;
144;81,96314100;172,20,10,6;173,194,59,73;;81,963141;81,993821;0,03068;;;;0,03068;0;-0,03068;;
145;81,99382100;173,194,59,73;172,20,10,6;;81,993821;81,993821;0;;;;-3,972922;3,972922;7,945844;;
146;81,99382100;173,194,59,73;172,20,10,6;;81,993821;85,966743;3,972922;;;;3,666082;0,30684;-3,359242;;
147;85,96674300;20,141,10,213;172,20,10,6;;85,966743;86,273583;0,30684;;;;0,30654;0,0003;-0,30624;;
148;86,27358300;204,79,197,200;172,20,10,6;;86,273583;86,273883;0,0003;;;;-1,023702;1,024002;2,047704;;
149;86,27388300;13,107,4,254;172,20,10,6;;86,273883;87,297885;1,024002;;;;-2,05001;3,074012;5,124022;;
150;87,29788500;13,107,53,254;172,20,10,6;;87,297885;90,371897;3,074012;;;;3,022036;0,051976;-2,97006;;
151;90,37189700;172,20,10,6;20,197,71,89;;90,371897;90,423873;0,051976;;;;-0,036766;0,088742;0,125508;;
152;90,42387300;20,197,71,89;172,20,10,6;;90,423873;90,512615;0,088742;;;;0,042421;0,046321;0,0039;;
153;90,51261500;20,197,71,89;172,20,10,6;;90,512615;90,558936;0,046321;;;;-2,285066;2,331387;4,616453;;
154;90,55893600;172,20,10,6;20,197,71,89;;90,558936;92,890323;2,331387;;;;2,292376;0,039011;-2,253365;;
155;92,89032300;172,20,10,6;31,13,95,60;;92,890323;92,929334;0,039011;;;;-0,268469;0,30748;0,575949;;
